title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
Sense8,2015,375 Castro St. and 17th between Castro and Diamond St.,Chase sequence on bicycles ends at gas station,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,CA,San Francisco,POINT (-122.4351232 37.7632816),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.4351232,2026-02-20T16:37:46.000,37.7632816
Hereafter,2010,The Final Final (2990 Baker Street),,GT Films,Warner Bros. Pictures,Clint Eastwood,Peter Morgan,Matt Damon,Cecile De France,,CA,San Francisco,POINT (-122.4457286 37.7985232),2,2026-02-20T16:44:43.000,Marina,-122.4457286,2026-02-20T16:37:46.000,37.7985232
Sweet November,2001,Marquee Lofts (1000 Van Ness Avenue at Alice B. Toklas Place),,Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,,CA,San Francisco,POINT (-122.420682 37.785098),5,2026-02-20T16:44:43.000,Tenderloin,-122.420682,2026-02-20T16:37:46.000,37.785098
Heart and Souls,1993,Stockton Tunnel (Stockton Street at Sutter Street),"Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.",Universal Pictures,Electric Parc,Tomas Gislason,Tomas Gislason,Jorgen Leth,,,CA,San Francisco,POINT (-122.4076596 37.7927749),3,2026-02-20T16:44:43.000,Chinatown,-122.4076596,2026-02-20T16:37:46.000,37.7927749
The Lineup,1958,Sutro Baths (Point Lobos Avenue),,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,Robert Keith,Richard Jaeckel,CA,San Francisco,POINT (-122.51365 37.7804444),1,2026-02-20T16:44:43.000,Outer Richmond,-122.51365,2026-02-20T16:37:46.000,37.7804444
Dreams,2025,"Hall of Justice, 850 Bryant St.",,Suenos Productions LLC,The Match Factory GmbH,Michel Franco,Michel Franco,Jessica Chastain,Isaac Hernández,Marshall Bell,CA,San Francisco,POINT (-122.4037757 37.7752811),6,2026-02-20T16:44:43.000,South of Market,-122.4037757,2026-02-20T16:37:46.000,37.7752811
The OA Part II,2019,Mission Rock at 3rd St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.3896032 37.7729525),6,2026-02-20T16:44:43.000,Mission Bay,-122.3896032,2026-02-20T16:37:46.000,37.7729525
Looking Season 2 ep 203,2015,"Boxer Stadium, 166 Havelock Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4446117 37.7269226),11,2026-02-20T16:44:43.000,Outer Mission,-122.4446117,2026-02-20T16:37:46.000,37.7269226
"Smile Again, Jenny Lee",2015,Mission Inn (5630 Mission St),,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.4472667 37.7111667),11,2026-02-20T16:44:43.000,Outer Mission,-122.4472667,2026-02-20T16:37:46.000,37.7111667
Chance Season 2,2017,Union St at Leavenworth St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4174339 37.7994215),3,2026-02-20T16:44:43.000,Russian Hill,-122.4174339,2026-02-20T16:37:46.000,37.7994215
The Game,1997,Ritz-Carlton Hotel (600 Stockton Street),,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,CA,San Francisco,POINT (-122.4070392 37.7918754),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4070392,2026-02-20T16:37:46.000,37.7918754
George of the Jungle,1997,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,,CA,San Francisco,POINT (-122.3648992 37.8102258),6,2026-02-20T16:44:43.000,Treasure Island,-122.3648992,2026-02-20T16:37:46.000,37.8102258
"Budding Prospects, Pilot",2017,1641 York Street,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,CA,San Francisco,POINT (-122.4062659 37.7473058),9,2026-02-20T16:44:43.000,Bernal Heights,-122.4062659,2026-02-20T16:37:46.000,37.7473058
Looking,2014,Casa Lucas Market at 2934 24th St,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4106977 37.7528277),9,2026-02-20T16:44:43.000,Mission,-122.4106977,2026-02-20T16:37:46.000,37.7528277
Bullitt,1968,Enrico's Café (504 Broadway),,Warner Brothers / Seven Arts Seven Arts,Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,CA,San Francisco,POINT (-122.4056449 37.7981294),3,2026-02-20T16:44:43.000,North Beach,-122.4056449,2026-02-20T16:37:46.000,37.7981294
Etruscan Smile,2017,Pier 39 San Francisco,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.409821 37.808673),3,2026-02-20T16:44:43.000,North Beach,-122.409821,2026-02-20T16:37:46.000,37.808673
The Dead Pool,1988,"Nam Yuen Restaurant (740 Washington Street, Chinatown)",,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,CA,San Francisco,POINT (-122.4058831 37.7954245),3,2026-02-20T16:44:43.000,Chinatown,-122.4058831,2026-02-20T16:37:46.000,37.7954245
The Matrix Resurrections,2021,150 California,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,CA,San Francisco,POINT (-122.3986313 37.7936408),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3986313,2026-02-20T16:37:46.000,37.7936408
Star Trek IV: The Voyage Home,1986,"Marina Green, Marina District","Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition.",Paramount Pictures,Paramount Pictures,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei,CA,San Francisco,POINT (-122.439016 37.8066961),2,2026-02-20T16:44:43.000,Marina,-122.439016,2026-02-20T16:37:46.000,37.8066961
American Graffiti,1973,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)",This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd.,Universal Pictures,Universal Pictures',George Lucas,George Lucas,Richard Dreyfuss,Ron Howard,Paul Le Mat,CA,San Francisco,POINT (-122.4044376 37.7840396),6,2026-02-20T16:44:43.000,South of Market,-122.4044376,2026-02-20T16:37:46.000,37.7840396
Dr. Dolittle 2,2001,Hyde Street & Lombard Street,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Steve Carr,Larry Levin,Eddie Murphy,Kristen Wilson,,CA,San Francisco,POINT (-122.4196461 37.8020026),3,2026-02-20T16:44:43.000,Russian Hill,-122.4196461,2026-02-20T16:37:46.000,37.8020026
The Towering Inferno,1974,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden,CA,San Francisco,POINT (-122.4100923 37.7923883),3,2026-02-20T16:44:43.000,Nob Hill,-122.4100923,2026-02-20T16:37:46.000,37.7923883
"Smile Again, Jenny Lee",2015,Mason & Sacramento St,,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.4110311 37.7927806),3,2026-02-20T16:44:43.000,Nob Hill,-122.4110311,2026-02-20T16:37:46.000,37.7927806
Looking Season 2 ep 209,2015,68 Division Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4027026 37.7700543),6,2026-02-20T16:44:43.000,Mission Bay,-122.4027026,2026-02-20T16:37:46.000,37.7700543
"Murder in the First, Season 1",2014,Alamo Square Park,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.434819 37.7763694),5,2026-02-20T16:44:43.000,Hayes Valley,-122.434819,2026-02-20T16:37:46.000,37.7763694
Shang-Chi and the Legend of the Ten Rings,2021,"Fairmont Hotel, 950 Mason",,Freelance Restorations LLC,Disney/Marvel,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina,CA,San Francisco,POINT (-122.4104443 37.7923897),3,2026-02-20T16:44:43.000,Nob Hill,-122.4104443,2026-02-20T16:37:46.000,37.7923897
The Bachelor,1999,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.",George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,CA,San Francisco,POINT (-122.4661345 37.7695812),7,2026-02-20T16:44:43.000,Golden Gate Park,-122.4661345,2026-02-20T16:37:46.000,37.7695812
Chance- Season 1 ep104,2016,Palace of Fine Arts,"The Palace of Fine Arts was designed by Bernard Maybeck and was originally constructed for the 1915 Panama-Pacific Exposition.  It has been in films such as Time After Time, The Room, Twisted, So I Married An Axe Murderer and The Rock.",TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4484231 37.8029308),2,2026-02-20T16:44:43.000,Marina,-122.4484231,2026-02-20T16:37:46.000,37.8029308
This Is Us,2022,Montgomery Street between Broadway and Green,,20th Television,NBC,Mandy Moore,"Dan Fogelman, Casey Johnson, David Windsor, Chrissy Metz",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,CA,San Francisco,POINT (-122.4040634 37.7981354),3,2026-02-20T16:44:43.000,North Beach,-122.4040634,2026-02-20T16:37:46.000,37.7981354
Looking,2014,601 Buena Vista West,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.443956 37.7669343),8,2026-02-20T16:44:43.000,Haight Ashbury,-122.443956,2026-02-20T16:37:46.000,37.7669343
Red Widow,2013,Golden Gate Ave & Jones,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,CA,San Francisco,POINT (-122.41225 37.7820845),5,2026-02-20T16:44:43.000,Tenderloin,-122.41225,2026-02-20T16:37:46.000,37.7820845
Knife Fight,2013,California & Hyde Streets,,Divisadero Pictures & Knife Fight,Eagle Films,Bill Guttentag,Bill Guttentag & Chris Lehane,Rob Lowe,Julie Bowen,Jamie Chung,CA,San Francisco,POINT (-122.4174211 37.7910049),3,2026-02-20T16:44:43.000,Nob Hill,-122.4174211,2026-02-20T16:37:46.000,37.7910049
Nash Bridges,2021,Davis Street between,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.396646 37.7903624),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.396646,2026-02-20T16:37:46.000,37.7903624
Quitters,2015,923 Vermont St.,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,CA,San Francisco,POINT (-122.4037415 37.7579997),10,2026-02-20T16:44:43.000,Potrero Hill,-122.4037415,2026-02-20T16:37:46.000,37.7579997
Broken-A Modern Love Story,2010,0-100 block Halleck Street,,RKW Films,,Ryan K. Whiting,Ryan K. Whiting,,,,CA,San Francisco,POINT (-122.4001104 37.7937037),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4001104,2026-02-20T16:37:46.000,37.7937037
Always Be My Maybe,2019,"Trax Bar, Haight St",,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,CA,San Francisco,POINT (-122.4461111 37.77),5,2026-02-20T16:44:43.000,Haight Ashbury,-122.4461111,2026-02-20T16:37:46.000,37.77
San Andreas,2015,Mission between 3rd and 4th St.,,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,CA,San Francisco,POINT (-122.403408 37.7853),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.403408,2026-02-20T16:37:46.000,37.7853
The Graduate,1967,San Francisco Zoo (2701 Sloat Blvd.),,Embassy Pictures Corporation,Embassy Pictures Corporation,Mike Nichols,Calder Willingham,Anne Bancroft,Dustin Hoffman,Katharine Ross,CA,San Francisco,POINT (-122.5032395 37.7329094),7,2026-02-20T16:44:43.000,Lakeshore,-122.5032395,2026-02-20T16:37:46.000,37.7329094
San Andreas,2015,Vallejo Garage Roof (Vallejo at Powell),,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,CA,San Francisco,POINT (-122.4100057 37.79856),3,2026-02-20T16:44:43.000,Chinatown,-122.4100057,2026-02-20T16:37:46.000,37.79856
The Diary of a Teenage Girl,2015,770 Haight St.,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.43489 37.771831),5,2026-02-20T16:44:43.000,Haight Ashbury,-122.43489,2026-02-20T16:37:46.000,37.771831
The Caine Mutiny,1954,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Stanley Kramer Productions,Columbia Pictures,Edward Dmytryk,Stanley Roberts,Humphrey Bogart,Fred MacMurray,Jose Ferrer,CA,San Francisco,POINT (-122.4785598 37.8199109),,2026-02-20T16:44:43.000,,-122.4785598,2026-02-20T16:37:46.000,37.8199109
Looking,2014,Church and Duboce Muni Station,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4297042 37.7694834),8,2026-02-20T16:44:43.000,Hayes Valley,-122.4297042,2026-02-20T16:37:46.000,37.7694834
Vertigo,1958,"Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,CA,San Francisco,POINT (-122.47709 37.8106117),2,2026-02-20T16:44:43.000,Presidio,-122.47709,2026-02-20T16:37:46.000,37.8106117
"Murder in the First, Season 1",2014,369 Embarcadero,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.3893598 37.790813),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3893598,2026-02-20T16:37:46.000,37.790813
Venom: Let There Be Carnage,2021,Beach and Larkin,,SM Film Productions,Sony Pictures,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson,CA,San Francisco,POINT (-122.483638 37.7935724),2,2026-02-20T16:44:43.000,Presidio,-122.483638,2026-02-20T16:37:46.000,37.7935724
All About Eve,1950,Curran Theater (445 Geary Street),Called the Shubert Theatre in the film.,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,CA,San Francisco,POINT (-122.4106277 37.7868283),3,2026-02-20T16:44:43.000,Tenderloin,-122.4106277,2026-02-20T16:37:46.000,37.7868283
Jade,1995,War Memorial Opera House (401 Van Ness Avenue),In 1945 the United Nations had its first conference at The War Memorial Opera House.,Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri,CA,San Francisco,POINT (-122.4205316 37.7795597),5,2026-02-20T16:44:43.000,Hayes Valley,-122.4205316,2026-02-20T16:37:46.000,37.7795597
The Game,1997,Bank of America Building (555 California Street),"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,CA,San Francisco,POINT (-122.4037515 37.7924396),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4037515,2026-02-20T16:37:46.000,37.7924396
"Looking ""Special""",2016,San Francisco City Hall,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4192417 37.779275),5,2026-02-20T16:44:43.000,Tenderloin,-122.4192417,2026-02-20T16:37:46.000,37.779275
The Woman In Red,1984,Brocklebank Apartments (1000 Mason Street),,Orion Pictures Corp.,MGM Home Entertainment,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder,Charles Grodin,,CA,San Francisco,POINT (-122.4106579 37.7931077),3,2026-02-20T16:44:43.000,Nob Hill,-122.4106579,2026-02-20T16:37:46.000,37.7931077
Looking Season 2 ep 204,2015,601 Buena Vista Ave West,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.443956 37.7669343),8,2026-02-20T16:44:43.000,Haight Ashbury,-122.443956,2026-02-20T16:37:46.000,37.7669343
The Rock,1996,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,CA,San Francisco,POINT (-122.4491285 37.8026694),2,2026-02-20T16:44:43.000,Marina,-122.4491285,2026-02-20T16:37:46.000,37.8026694
Interview With The Vampire,1994,100 Market Street at 6th Street,,Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise,CA,San Francisco,POINT (-122.4114343 37.781227),6,2026-02-20T16:44:43.000,South of Market,-122.4114343,2026-02-20T16:37:46.000,37.781227
What's Up Doc?,1972,San Francisco Hilton (333 O'Farrell Street),,Warner Bros. Pictures,Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand,Ryan O'Neal,,CA,San Francisco,POINT (-122.4104463 37.7857289),5,2026-02-20T16:44:43.000,Tenderloin,-122.4104463,2026-02-20T16:37:46.000,37.7857289
The Maltese Falcon,1941,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Warner Bros. Pictures,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart,Mary Astor,Gladys George,CA,San Francisco,POINT (-122.3936136 37.7954425),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3936136,2026-02-20T16:37:46.000,37.7954425
The Lady from Shanghai,1947,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.",Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Everett Sloane,CA,San Francisco,POINT (-122.4661345 37.7695812),7,2026-02-20T16:44:43.000,Golden Gate Park,-122.4661345,2026-02-20T16:37:46.000,37.7695812
"Budding Prospects, Pilot",2017,1167 Alabama Street,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,CA,San Francisco,POINT (-122.4108224 37.7532795),9,2026-02-20T16:44:43.000,Mission,-122.4108224,2026-02-20T16:37:46.000,37.7532795
DEVS,2020,Harrison at 25th St,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.4117942 37.7510441),9,2026-02-20T16:44:43.000,Mission,-122.4117942,2026-02-20T16:37:46.000,37.7510441
Take the Money and Run,1969,Bank of America (1455 Stockton Street),,American Broadcasting Company (ABC),Cinerama Releasing Corporation,Woody Allen,Woody Allen,Woody Allen,Janet Margolin,,CA,San Francisco,POINT (-122.4092516 37.7993084),3,2026-02-20T16:44:43.000,Chinatown,-122.4092516,2026-02-20T16:37:46.000,37.7993084
The Last Thing He Told Me,2023,"168 2nd Street, Blue Bottle Coffee",,20th Television,Apple TV+,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer, Lila Neugebauer",Laura Dave,Jennifer Garner,Angourie Rice,Aisha Tyler,CA,San Francisco,POINT (-122.3988786 37.7870252),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3988786,2026-02-20T16:37:46.000,37.7870252
Nash Bridges,2021,"Pier 45, San Francisco",,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.4174783 37.80968),3,2026-02-20T16:44:43.000,North Beach,-122.4174783,2026-02-20T16:37:46.000,37.80968
Godzilla,2014,Pier 1,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,CA,San Francisco,POINT (-122.3924358 37.7949305),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3924358,2026-02-20T16:37:46.000,37.7949305
"Goodbye, Mr.Chips",,"Hanger 3, Treasure island",rebate folder under films - to confirm,,,,,,,,CA,San Francisco,POINT (-122.3658344 37.8193829),6,2026-02-20T16:44:43.000,Treasure Island,-122.3658344,2026-02-20T16:37:46.000,37.8193829
"Murder in the First, Season 2",2015,Pennsylvania Avenue at 19th Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.393516 37.7614916),10,2026-02-20T16:44:43.000,Potrero Hill,-122.393516,2026-02-20T16:37:46.000,37.7614916
GirlBoss,2017,Various Haight St. Vintage Shops,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.4465909 37.7698782),5,2026-02-20T16:44:43.000,Haight Ashbury,-122.4465909,2026-02-20T16:37:46.000,37.7698782
Magnum Force,1973,Broadway Tunnel (Russian Hill),,The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,CA,San Francisco,POINT (-122.4149779 37.7966511),3,2026-02-20T16:44:43.000,Nob Hill,-122.4149779,2026-02-20T16:37:46.000,37.7966511
Quitters,2015,21st St & Sanchez,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,CA,San Francisco,POINT (-122.4301214 37.7563756),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.4301214,2026-02-20T16:37:46.000,37.7563756
Ant-Man and the Wasp: Quantumania,2023,Geary Street between Market and Leavenworth,,Pym Particles Production III LLC,Walt Disney Studios Motion Pictures,Peyton Reed,Jeff Loveness,Paul Rudd,Evangeline Lilly,Jonathan Majors,CA,San Francisco,POINT (-122.4152873 37.7865402),3,2026-02-20T16:44:43.000,Tenderloin,-122.4152873,2026-02-20T16:37:46.000,37.7865402
Hereafter,2010,Hobart Building (582 Market Street),,GT Films,Warner Bros. Pictures,Clint Eastwood,Peter Morgan,Matt Damon,Cecile De France,,CA,San Francisco,POINT (-122.4016184 37.789466),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4016184,2026-02-20T16:37:46.000,37.789466
The Dead Pool,1988,23rd & Iowa Streets (Dogpatch),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,CA,San Francisco,POINT (-122.3919317 37.7551731),10,2026-02-20T16:44:43.000,Potrero Hill,-122.3919317,2026-02-20T16:37:46.000,37.7551731
The Bachelor,1999,Columbus Avenue at Green & Stockton,,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,CA,San Francisco,POINT (-122.40905 37.799277),3,2026-02-20T16:44:43.000,Chinatown,-122.40905,2026-02-20T16:37:46.000,37.799277
The Phone/Jexi,2019,Texas at 17th St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.3958291 37.7652002),10,2026-02-20T16:44:43.000,Mission Bay,-122.3958291,2026-02-20T16:37:46.000,37.7652002
The Diary of a Teenage Girl,2015,Higher Grounds Coffee House,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.4337293 37.7344121),8,2026-02-20T16:44:43.000,Glen Park,-122.4337293,2026-02-20T16:37:46.000,37.7344121
Chef Dynasty: House of Fang,2022,"Asian Art Museum (200 Larkin Street, Civic Center)",,"Quidnet Media, LLC",Food Network,,,Lillian Phan,Long Vo,Christy-Anne Lopez,CA,San Francisco,POINT (-122.4161985 37.7801637),5,2026-02-20T16:44:43.000,Tenderloin,-122.4161985,2026-02-20T16:37:46.000,37.7801637
Steve Jobs,2015,21st and Collingswood St.,,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,CA,San Francisco,POINT (-122.4356728 37.7560549),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.4356728,2026-02-20T16:37:46.000,37.7560549
The Phone/Jexi,2019,"W Hotel, Trace bar - 181 3rd St.",,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.4004457 37.7854527),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4004457,2026-02-20T16:37:46.000,37.7854527
